ID_TRAIN,NB_EMPT,R_ATD,DUREE,PRT_VAL,AGE_D,REV_BT,REV_NET,TYP_RES,ST_EMPL,MNT_EPAR,NB_ER_6MS,NB_ER_12MS,NB_DEC_12MS,NB_OPER,NB_COUR,NB_INTR_1M,NB_INTR_12M,PIR_DEL,NB_DEL_30,NB_DEL_60,NB_DEL_90,MNT_PASS,MNT_ACT,MNT_AUT_REN,MNT_UTIL_REN,NB_SATI,TYP_FIN,MNT_DEMANDE,DEFAULT,PROFIT_LOSS
5000051,1,0.6,6,1,21,40000,31000,A,P,1527,0,0,0,10,4,0,0,0,0,1,0,48539,76283,1500,411,9,AUTO,30400,0,1520
5000052,1,0.3,2,0.9,67,77000,61000,P,R,105573,0,0,0,6,6,0,0,0,0,0,0,451821,488708,12000,152,6,AUTO,5600,0,280
5000053,1,0.51,2,0.97,30,48000,28000,A,R,137378,0,0,0,11,10,0,0,0,0,0,0,619,181150,14500,9771,9,AUTO,26100,0,1305
5000054,1,0.35,2,1,31,33000,22000,L,P,44328,0,0,0,1,1,0,0,0,0,2,4,14551,44328,5500,2625,1,AUTO,39300,0,1965
5000055,1,0.25,3,1,19,84000,73000,P,R,73222,0,0,0,2,2,0,0,0,0,0,0,329925,332184,5500,157,2,AUTO,29600,0,1480
5000056,1,0.23,5,0.95,19,53000,47000,L,,91406,0,0,0,11,9,0,0,0,0,0,0,8392,91406,63500,39923,11,AUTO,22000,0,1100
5000057,1,0.47,1,0.93,30,110000,73000,A,P,19114,0,0,0,6,2,1,1,0,0,0,0,125797,128885,500,468,5,AUTO,19600,0,980
5000058,1,0.49,3,0.87,64,99000,87000,A,R,221204,0,0,0,8,1,0,0,0,0,0,0,2052,221204,1500,0,7,AUTO,13100,0,655
5000059,1,0.11,5,0.55,44,55000,35000,P,,3287,1,1,1,9,8,0,0,0,0,0,0,39068,41403,5000,519,8,AUTO,24600,0,1230
5000060,1,0.31,5,1,22,20000,15000,L,T,884,0,0,0,5,4,0,0,0,0,0,0,2715,884,2000,1579,5,AUTO,12900,0,645
5000061,1,0.15,4,1,55,29000,18000,L,R,26152,2,2,0,5,4,0,0,0,0,0,0,4131,26152,1000,195,4,AUTO,16500,0,825
5000062,1,0.18,6,1,,69000,62000,P,R,49449,0,0,0,9,7,0,0,0,0,0,0,661,49449,10500,9915,5,AUTO,39600,0,1980
5000063,1,0.31,2,1,18,71000,63000,L,P,112307,0,0,0,2,0,0,0,0,0,0,0,4491,112307,0,0,2,AUTO,9900,0,495
5000064,1,0.12,1,0.48,30,100000,61000,L,R,155766,1,1,0,13,0,0,0,0,0,0,0,1901,155766,0,0,3,AUTO,13400,0,670
5000065,1,0.39,2,0.93,37,67000,49000,A,R,56714,0,0,0,7,7,0,0,0,0,0,1,1309,56714,4000,4000,6,AUTO,39800,0,1990
5000066,1,0.02,1,1,74,86000,69000,P,R,39833,0,0,0,5,1,0,0,0,0,0,0,11143,39833,3000,3000,5,AUTO,35900,0,1795
5000067,1,0.24,4,0.42,49,151000,102000,P,R,40130,0,0,3,10,8,0,0,0,0,0,0,2322,40130,2500,1861,9,AUTO,39800,0,1990
5000068,1,0.32,7,0.85,79,56000,51000,P,P,17419,0,0,0,5,5,0,0,0,0,0,0,139327,140081,500,499,5,AUTO,10500,0,525
5000069,1,0.46,4,1,39,24000,14000,L,R,122202,0,0,0,12,5,0,0,0,0,0,0,70535,327738,5500,5499,10,AUTO,16400,0,820
5000070,1,0.34,6,0.75,27,70000,63000,L,P,216166,0,0,0,10,9,0,0,0,0,0,0,1971,216166,500,0,10,AUTO,12800,0,640
5000071,1,0.71,2,0.99,27,5000,4000,L,T,16960,0,1,0,10,8,0,0,0,0,0,0,2467,16960,5500,3999,9,AUTO,25200,0,1260
5000072,1,0.11,4,0.53,44,93000,75000,P,R,131262,3,6,0,10,8,0,0,0,2,0,0,332174,438871,2000,814,8,AUTO,19200,0,960
5000073,1,0.02,2,0.48,57,108000,74000,L,R,12646,0,0,0,4,2,0,0,0,5,0,0,70495,72610,17000,14419,4,AUTO,30100,0,1505
5000074,1,0.46,3,1,,20000,13000,L,T,104760,0,0,0,12,11,0,0,0,0,0,0,2045,104760,500,500,11,AUTO,20400,0,1020
5000075,1,0.04,3,0.54,40,70000,43000,A,R,142984,0,0,0,7,0,0,0,0,0,1,0,0,142984,0,0,7,AUTO,6400,0,320
5000076,1,0.11,3,0.91,38,127000,86000,P,R,12535,0,0,0,1,0,4,4,0,0,0,0,7733,12535,0,0,1,AUTO,14200,0,710
5000077,1,0.29,6,1,34,73000,55000,P,P,27527,0,0,1,5,5,0,0,0,0,0,1,19691,96569,1000,829,5,AUTO,19900,0,995
5000078,1,0.41,5,1,18,24000,15000,P,T,8720,0,0,0,3,3,0,0,0,0,0,0,0,8720,9000,9000,3,AUTO,32000,0,1600
5000079,1,0.04,5,1,63,150000,118000,P,R,17077,0,0,0,10,8,0,0,0,0,0,0,196422,199093,1000,999,9,AUTO,22200,0,1110
5000080,1,0.2,1,1,29,58000,36000,P,R,162675,0,0,0,11,0,0,0,0,0,0,0,1171,162675,0,0,11,AUTO,27000,0,1350
5000081,2,0.38,5,1,42,54000,46000,L,T,41,0,0,0,5,3,0,0,0,0,0,0,15677,41,1500,0,4,AUTO,11200,0,560
5000082,1,0.67,3,1,18,72000,51000,P,R,1354,0,0,0,9,1,0,0,0,0,0,0,59,1354,500,0,7,AUTO,27000,0,1350
5000083,1,0.39,3,0.74,55,62000,44000,L,R,146867,0,0,3,7,7,0,0,0,0,0,0,25724,146867,10000,976,6,AUTO,20400,0,1020
5000084,1,0.21,5,1,34,22000,15000,L,R,27539,0,0,0,9,8,0,0,0,0,0,0,25580,36583,2000,708,8,AUTO,26300,0,1315
5000085,1,0.08,6,0.53,32,171000,143000,A,R,210821,0,0,0,8,5,0,0,0,0,0,0,3816,210821,1000,850,8,AUTO,38700,0,1935
5000086,1,0.24,4,0.86,34,73000,64000,L,P,80,1,1,2,6,1,0,0,0,0,0,0,11150,233932,24500,11674,5,AUTO,36700,0,1835
5000087,1,0.58,4,1,44,73000,48000,L,R,8815,0,0,0,8,7,0,0,0,0,0,1,5804,65615,1000,463,8,AUTO,7500,0,375
5000088,1,0.15,2,1,34,59000,52000,P,R,154654,0,0,0,7,6,0,0,0,0,0,0,59267,180019,8500,1936,5,AUTO,18000,0,900
5000089,1,0.34,3,0.99,43,72000,52000,L,T,32352,0,3,0,5,2,0,0,0,0,0,0,489370,518346,9000,3602,5,AUTO,26600,0,1330
5000090,1,0.61,4,1,59,92000,58000,L,R,187214,0,0,0,12,11,0,0,0,0,0,0,291556,781583,9000,2636,12,AUTO,10900,0,545
5000091,1,0.28,4,1,38,83000,59000,L,P,37572,0,0,0,11,10,0,0,0,0,0,0,64726,278190,4000,3999,9,AUTO,21500,0,1075
5000092,1,0.16,1,1,59,138000,110000,P,P,205120,0,0,0,9,7,0,0,0,0,3,0,8548,205120,61000,4504,8,AUTO,6100,0,305
5000093,1,0.42,7,0.93,49,70000,57000,P,R,44202,0,0,0,6,2,0,0,0,1,0,0,117510,700909,500,442,5,AUTO,22700,0,1135
5000094,1,0.37,2,1,47,52000,31000,P,R,36358,0,0,0,10,4,0,0,0,0,0,0,5558,239545,38000,27288,10,AUTO,10500,0,525
5000095,1,0.29,2,1,75,61000,47000,P,R,225622,0,0,0,5,1,0,0,0,0,0,3,247205,247400,1000,999,4,AUTO,32300,0,1615
5000096,1,0.45,7,1,20,62000,50000,A,R,62062,0,0,0,13,6,0,0,0,1,0,0,12301,62062,2500,1179,11,AUTO,29500,0,1475
5000097,1,0.32,6,0.51,36,25000,14000,A,R,123547,0,0,0,5,3,0,0,0,0,0,0,41999,123547,5000,0,5,AUTO,23200,0,1160
5000098,1,0.43,4,1,41,22000,18000,A,P,5320,0,0,0,5,5,0,0,0,0,4,0,1838,99764,5500,3858,3,AUTO,39400,0,1970
5000099,2,0.02,3,1,53,123000,74000,L,R,24484,0,0,0,5,4,0,0,0,0,0,0,12186,24484,5000,3626,2,AUTO,10500,0,525
5000100,1,0.25,2,0.64,30,29000,20000,L,R,1612,0,0,2,8,7,0,0,0,0,0,0,17513,264325,18500,101,7,AUTO,18700,0,935
5000101,1,0.31,6,1,26,62000,41000,A,R,29168,0,0,0,11,8,0,0,0,0,0,0,2930,29168,6000,4232,11,AUTO,10500,0,525
5000102,1,0.38,7,1,40,67000,51000,P,P,181079,0,0,0,6,5,0,0,0,0,0,0,124993,735639,500,0,6,AUTO,38900,0,1945
5000103,2,0.37,5,1,19,41000,23000,P,P,11014,0,0,0,6,4,0,0,0,0,0,0,49953,174527,6500,262,4,AUTO,33900,0,1695
5000104,1,0.24,6,0.7,41,65000,52000,A,P,2146,0,0,0,7,6,0,0,0,0,0,0,17672,22650,6000,5999,6,AUTO,40000,0,2000
5000105,1,0.44,6,1,29,63000,51000,P,T,2631,0,0,0,12,10,0,0,0,0,0,0,164945,166147,6000,0,7,AUTO,27700,0,1385
5000106,1,0.5,5,0.8,60,60000,44000,A,R,247674,0,0,0,5,1,0,0,0,0,0,0,473,247674,12000,1415,4,AUTO,34200,0,1710
5000107,1,0.67,4,1,60,76000,64000,P,R,113620,0,0,0,9,9,0,0,0,0,0,0,13048,135742,14000,1442,7,AUTO,39700,0,1985
5000108,1,0.38,4,0.98,45,22000,13000,A,P,203206,0,1,0,4,4,0,0,0,0,0,1,165562,278704,8000,7999,4,AUTO,8100,0,405
5000109,1,0.58,3,1,68,44000,26000,L,R,239473,0,0,0,3,1,0,0,0,0,0,0,161741,539436,27000,27000,2,AUTO,34800,0,1740
5000110,1,0.18,2,0.41,54,38000,33000,A,R,6764,0,0,0,9,4,0,0,0,0,0,0,14069,6764,500,171,8,AUTO,16500,0,825
5000111,1,0.11,6,1,47,47000,42000,P,R,59771,0,0,0,4,1,0,0,0,0,0,0,132,59771,17500,14900,4,AUTO,19100,0,955
5000112,1,0.03,5,0.98,56,100000,87000,L,R,16753,0,0,0,8,1,0,0,1,0,0,0,126047,212807,9000,99,6,AUTO,10000,0,500
5000113,1,0.5,4,0.98,29,10000,8000,A,,48779,0,0,0,8,6,0,0,0,0,0,0,149693,169198,5500,649,6,AUTO,10100,0,505
5000114,2,0.21,7,1,18,50000,30000,P,R,43521,0,0,0,4,3,0,0,0,0,0,0,284743,482545,54000,54000,3,AUTO,20600,0,1030
5000115,1,0.26,4,0.53,38,135000,86000,L,P,34265,0,0,0,7,7,0,0,0,0,0,0,0,34265,12500,38,6,AUTO,28900,0,1445
5000116,1,0.43,4,1,35,63000,49000,L,P,40737,0,0,0,12,7,1,1,0,6,0,0,17272,40737,2000,492,10,AUTO,22200,0,1110
5000117,1,0.34,5,0.92,32,64000,37000,L,R,50156,0,0,0,5,3,0,0,0,0,0,0,3833,50156,4000,3999,5,AUTO,29800,0,1490
5000118,1,0.25,4,1,35,54000,44000,P,P,112182,0,0,0,11,10,1,1,0,0,0,0,11178,112182,13500,13499,3,AUTO,14100,0,705
5000119,1,0.42,6,1,21,50000,33000,P,,68237,0,0,0,8,7,0,0,0,0,0,0,253195,310432,1000,178,6,AUTO,14000,0,700
5000120,1,0.51,7,1,66,72000,46000,P,R,11216,0,0,3,8,7,0,0,0,0,0,0,174510,400182,13000,0,6,AUTO,31300,0,1565
5000121,1,0.29,4,0.93,20,5000,4000,A,P,98119,0,0,0,9,5,0,0,0,0,0,0,3566,98119,4500,980,7,AUTO,39000,0,1950
5000122,2,0.28,5,0.5,21,46000,28000,L,P,99666,0,0,0,12,0,0,0,0,0,0,0,11126,99666,0,0,9,AUTO,17000,0,850
5000123,1,0.17,4,0.81,24,7000,4000,L,T,52688,0,0,0,8,2,0,0,0,0,0,0,7978,798075,6500,110,7,AUTO,37100,0,1855
5000124,1,0.02,1,0.83,68,139000,79000,P,R,34032,0,0,0,5,2,0,0,0,0,0,0,21506,128601,2000,1999,3,AUTO,20100,0,1005
5000125,1,0.27,2,0.8,58,80000,55000,L,P,222649,0,0,0,5,4,0,0,0,0,0,0,1184,283577,500,0,4,AUTO,9600,0,480
5000126,1,0.35,4,0.99,28,34000,21000,L,T,7233,0,0,0,4,3,0,0,2,0,0,2,3312,7233,500,117,3,AUTO,34800,0,1740
5000127,1,0.3,7,0.92,21,18000,13000,A,R,1286,0,3,0,13,5,0,0,0,0,0,0,2676,114225,500,499,13,AUTO,33800,0,1690
5000128,2,0.52,2,0.66,21,52000,37000,L,R,109306,0,0,0,8,3,0,0,0,0,0,0,213995,453698,9000,0,7,AUTO,31300,0,1565
5000129,1,0.55,4,0.92,18,71000,56000,L,P,152992,0,0,0,1,0,0,0,0,0,0,0,38846,152992,0,0,1,AUTO,18400,0,920
5000130,1,0.38,7,1,18,64000,37000,L,,536,4,8,0,7,1,0,0,0,0,0,0,22165,536,10000,4482,6,AUTO,32300,1,-32299.87579
5000131,2,0.27,7,1,18,14000,9000,P,,1196,4,4,4,12,10,0,0,0,0,0,0,13101,1196,4000,1508,8,AUTO,35200,0,1760
5000132,1,0.41,6,1,31,49000,37000,L,T,2863,0,0,0,5,4,0,0,0,0,0,0,17914,2863,5500,237,5,AUTO,25900,0,1295
5000133,1,0.24,3,1,60,73000,45000,L,P,6837,0,0,0,7,7,0,0,0,0,0,0,2903,6837,35000,4001,6,AUTO,9000,0,450
5000134,1,0.09,5,1,34,170000,152000,L,R,29961,0,0,0,8,7,0,0,0,0,0,0,38078,142731,3500,2840,7,AUTO,33100,0,1655
5000135,1,0.05,2,0.5,39,113000,65000,P,R,87457,0,0,0,14,2,0,0,0,0,1,0,0,87457,38000,18619,3,AUTO,32400,0,1620
5000136,2,0.29,7,1,29,50000,32000,P,P,2081,1,4,0,4,3,0,0,0,0,0,0,218927,228333,12500,619,4,AUTO,32600,0,1630
5000137,1,0.49,6,0.6,56,37000,30000,P,P,70065,0,0,0,9,8,0,0,0,0,0,0,527,70065,10000,10000,8,AUTO,38900,0,1945
5000138,1,0.57,4,1,25,61000,43000,L,P,111026,0,0,0,8,6,1,1,0,1,0,0,41993,111026,1500,0,7,AUTO,21900,0,1095
5000139,1,0.4,3,1,23,87000,73000,A,R,69639,0,0,0,9,6,0,0,0,0,0,0,135402,216514,6500,205,8,AUTO,16200,0,810
5000140,1,0.17,1,0.76,59,111000,86000,L,R,201353,0,0,0,3,1,0,0,0,0,0,0,2419,201353,4000,3999,2,AUTO,38500,0,1925
5000141,1,0.06,4,1,38,61000,34000,L,R,1570,1,1,0,5,2,0,0,0,0,0,0,1580,1570,2500,661,4,AUTO,38000,0,1900
5000142,1,0.67,3,0.98,48,30000,25000,P,R,186392,0,0,0,6,5,0,0,0,0,0,0,2954,186392,12500,12238,6,AUTO,5200,0,260
5000143,1,0.56,3,1,27,28000,15000,P,R,23454,0,0,0,12,11,3,3,0,0,0,0,4768,99012,4000,225,12,AUTO,38800,0,1940
5000144,1,0.75,6,1,18,48000,37000,A,T,9315,0,0,0,8,7,0,0,0,0,0,0,244973,273900,1000,267,7,AUTO,26500,0,1325
5000145,1,0.43,6,0.95,65,60000,45000,P,P,151325,0,0,0,9,7,0,0,0,0,0,0,44993,151325,500,0,8,AUTO,29800,0,1490
5000146,1,0.28,3,1,19,78000,64000,L,R,40345,0,0,0,3,1,0,0,0,0,0,0,14285,131244,4500,1636,2,AUTO,19100,0,955
5000147,1,0.37,3,1,26,90000,72000,P,P,96305,0,0,0,11,11,0,0,0,0,0,4,116306,217926,5500,0,5,AUTO,37500,0,1875
5000148,1,0.02,3,0.41,61,157000,118000,P,R,186879,0,0,0,6,2,0,0,0,0,0,0,24019,186879,2000,265,5,AUTO,23700,0,1185
5000149,1,0.27,6,0.66,27,61000,55000,A,R,249,0,2,0,3,1,3,3,0,2,0,0,120980,176794,2500,2500,3,AUTO,26000,0,1300
5000150,1,0.13,1,0.75,47,60000,49000,L,P,90161,0,0,0,5,3,0,0,0,0,0,0,186122,273131,500,478,4,AUTO,13800,0,690
5000151,1,0.27,6,1,30,114000,68000,L,T,204714,0,0,0,8,1,0,0,0,0,0,3,6098,204714,3500,1449,1,AUTO,20300,1,-20294.33857
5000152,1,0.26,5,1,29,39000,33000,L,,39000,0,0,0,7,5,0,0,0,0,0,1,2604,245178,1500,1008,6,AUTO,25000,1,-15638.88634
5000153,2,0.38,6,1,20,71000,59000,P,R,1913,0,0,0,9,7,0,0,0,0,0,0,10055,15117,11500,6849,7,AUTO,6000,0,300
5000154,1,0.36,3,1,21,66000,52000,L,,25169,0,0,0,0,0,0,0,0,0,0,0,183918,194275,0,0,0,AUTO,36300,0,1815
5000155,1,0.37,4,1,35,98000,73000,L,R,68729,0,0,0,6,1,0,0,0,0,0,0,691,68729,1500,484,5,AUTO,22000,0,1100
5000156,1,0.38,6,1,30,72000,60000,L,T,95920,0,0,0,4,4,0,0,0,0,0,0,144765,305176,1000,999,4,AUTO,8000,0,400
5000157,1,0.28,4,1,54,145000,80000,P,R,31645,0,0,0,4,4,0,0,0,0,0,0,184034,186090,13500,3892,3,AUTO,39100,0,1955
5000158,2,0.72,2,0.63,44,68000,62000,A,P,16485,0,0,1,6,4,1,1,0,0,1,0,27644,89488,14000,5754,1,AUTO,37900,0,1895
5000159,1,0.3,6,1,21,23000,20000,A,P,133,1,1,2,9,8,1,1,0,0,0,0,11631,133,1000,560,7,AUTO,37600,0,1880
5000160,1,0.21,1,1,22,39000,31000,L,R,56080,0,0,0,3,2,0,0,0,0,0,0,4930,56080,24500,0,2,AUTO,17300,0,865
5000161,2,0.34,2,0.91,18,38000,25000,A,P,3505,0,0,0,9,7,0,0,0,0,0,0,36456,39880,500,499,8,AUTO,17200,0,860
5000162,1,0.43,6,0.66,30,34000,19000,L,,80996,0,0,0,11,10,0,0,0,0,0,0,17589,80996,3500,2821,9,AUTO,5000,0,250
5000163,1,0.35,3,1,19,89000,53000,L,P,2213,0,0,5,5,4,1,1,3,0,0,0,21499,2213,1000,1000,3,AUTO,12600,0,630
5000164,1,0.68,7,1,32,41000,37000,P,P,24062,0,0,0,10,10,0,0,0,0,0,0,4060,24062,37500,18702,10,AUTO,10800,0,540
5000165,1,0.29,5,1,53,80000,71000,P,R,8217,0,3,0,8,6,0,0,0,0,0,0,0,8217,1500,222,7,AUTO,7600,0,380
5000166,1,0.43,5,1,41,49000,31000,L,P,13721,0,0,1,6,0,0,0,0,0,0,0,132619,159677,0,0,5,AUTO,33500,0,1675
5000167,1,0.32,7,1,25,35000,29000,P,P,5184,0,0,0,5,4,0,0,0,0,0,0,847,5184,2500,1177,4,AUTO,8500,0,425
5000168,1,0.39,7,0.96,23,34000,22000,L,P,13518,0,2,1,6,4,0,0,0,1,0,0,361381,541812,1000,190,5,AUTO,17200,0,860
5000169,1,0.14,3,0.54,50,46000,34000,L,P,109029,0,0,0,9,8,0,0,0,0,1,0,174707,253031,500,500,8,AUTO,35200,0,1760
5000170,1,0.54,5,0.93,25,46000,27000,A,,29643,0,0,0,8,6,0,0,0,0,0,0,2193,70967,16500,87,7,AUTO,9500,0,475
5000171,1,0.36,3,1,37,74000,63000,P,R,14107,0,0,1,8,8,0,0,0,0,0,0,185251,436553,20000,139,8,AUTO,38400,0,1920
5000172,1,0.36,5,1,52,85000,71000,L,R,25839,0,0,0,1,1,0,0,0,0,0,1,534,25839,9500,1909,1,AUTO,21500,0,1075
